model_key,name,train_accuracy,test_accuracy
logistic_regression,Logistic Regression,0.6896418944936465,0.6892307692307692
random_forest_classification,Random Forest Classification,0.7924528301886793,0.7
gradient_boosting_classification,Gradient Boosting Classification,0.8887177512514439,0.6861538461538461
xgboost_classification,XGBoost Classification,0.8355795148247979,0.6815384615384615
