model_key,name,train_r2,test_r2,train_mse,test_mse,train_mae,test_mae
linear_regression,Linear Regression,0.8074756616025853,0.5351059067145142,20.234288457094486,49.65932159074666,2.5775221510460185,3.4306631412203794
ridge_regression,Ridge Regression,0.7838986272281825,0.7428469577436092,22.712232380785455,27.46871988241641,2.7698868796847047,3.021772867587469
random_forest_regression,Random Forest Regression,0.928464856187706,0.7356328577874504,7.518336366022443,28.239319713399187,1.7314786386410619,2.991657462274182
gradient_boosting_regression,Gradient Boosting Regression,0.943344900323998,0.7329297428552015,5.954445235091681,28.52806258119653,1.6275212912230168,2.9726608498277765
xgboost_regression,XGBoost Regression,0.9299290416473419,0.7136213720064954,7.3644506225804935,30.590555117062063,1.7505994840107106,2.9990644318947424
