feature,importance
30,0.6547201074302125
32,0.11912488075440013
111,0.023483647606732144
23,0.015680863504375985
72,0.01116250758267745
117,0.008093948197832213
90,0.007313418537875665
201,0.006640888044683364
55,0.005017758298235157
200,0.004742202668275312
16,0.00465664055319502
100,0.004551543657503219
204,0.004506065083278965
121,0.004425046900903165
71,0.004213815704038788
178,0.003536782307299109
202,0.003377571126566552
173,0.003293345316227429
21,0.0031811952297682807
115,0.0029818236740531377
160,0.00279991740217646
13,0.0026859921160434577
161,0.002591249978136473
95,0.0025500343700963165
47,0.0025261004673648277
31,0.0025234174908949653
152,0.0022345253686732337
141,0.002042434965965177
187,0.0020273401837216224
184,0.0019004211097375249
116,0.0018718952767315417
4,0.0018111099225340608
119,0.0018045060694939711
104,0.0017347782785381123
217,0.0017211069762685753
18,0.0014856847160617792
42,0.001483606576296927
132,0.001423756091544887
10,0.0013904367654131086
136,0.001380856973035986
227,0.00135673238765763
125,0.0013386015103435589
114,0.0013373900619534792
14,0.001327050738381679
15,0.0013195333228464793
174,0.001282104989692927
68,0.001245360088000247
78,0.0011940181929299002
167,0.0011558779750995294
91,0.0011442298922307963
62,0.0011229773305194393
137,0.0010816848334735622
130,0.0010557002612445593
220,0.0010507060461407826
109,0.0010288374899436801
151,0.0009926338093518262
48,0.0009824444664387445
105,0.0009688816558582786
163,0.000962597131631312
155,0.0009363880501724787
162,0.0009320736832185955
83,0.0009278147829298155
66,0.0009026363294785815
88,0.0008583439247214443
6,0.0008486425108483132
189,0.0008469053421221214
208,0.0008258330638668171
9,0.0008131800923572349
126,0.0008113739024870083
28,0.0007868683510569084
143,0.0007768428538132722
112,0.0007711283601715246
228,0.0007530330579292889
57,0.0007509290734880361
172,0.0007259428806523176
29,0.0007238007686568254
50,0.0007108103813530465
52,0.0006748220951444154
186,0.0006723880665063768
142,0.0006663221608294978
194,0.0006648686757356609
183,0.0006630973979626425
84,0.0006604189986476717
135,0.0006574281951064844
181,0.0006334178437247788
26,0.0006195471453107965
80,0.0006139496177112949
169,0.0006101262206012284
140,0.0006024884302449645
156,0.0005716697909096335
230,0.000571365392677773
133,0.0005646750518196926
193,0.0005403506954925641
182,0.00052746560423153
1,0.0005201570102505963
128,0.000517339040256442
34,0.0005123822444844258
97,0.0004913494302192607
168,0.0004829568568398396
98,0.00048231973693679825
203,0.00048129774152286524
192,0.00045441533084594174
134,0.0004361028187207013
195,0.0004294265743409434
8,0.00042636402005777357
120,0.00042549961509139646
148,0.0004172133340864417
221,0.0004076721479408084
218,0.0003843444936608334
38,0.0003835678906585556
196,0.00038257837324844155
147,0.0003761837947178353
157,0.0003726835142014427
92,0.0003675439551749105
206,0.0003544804430011021
24,0.00034229336556785444
54,0.0003348878002601082
158,0.0003254371797802216
87,0.00032307996998582646
214,0.00032016374726450396
20,0.0003201469917086299
199,0.00031169645543333973
185,0.0003070812324228308
53,0.0003018296913828898
40,0.00029222303893891165
61,0.00028836560032626484
5,0.00028811516262738473
99,0.00028431368414856756
22,0.00026625013347462094
164,0.00025468956670654383
127,0.00025057349233329563
131,0.00023915134303559456
207,0.0002361668885170416
224,0.0002355928106695904
113,0.00022234773823631018
222,0.00021807605750768721
43,0.00021570942026676826
118,0.0002077200918530967
229,0.00020246655487627294
77,0.00019732452593759943
144,0.00018872103130166375
149,0.00017733033302155652
59,0.0001758654808381227
35,0.0001718570055628515
171,0.00014859110464106347
0,0.00012525643717765873
124,0.0001058939947706568
107,9.807785682723029e-05
215,8.944201871480179e-05
159,8.864365205964235e-05
96,8.745084774556782e-05
188,7.376087304435474e-05
49,6.391889250450343e-05
58,5.923440183842887e-05
7,5.414497502203271e-05
190,5.033678797291611e-05
19,4.8142548191286053e-05
67,4.073612864169639e-05
12,3.815277595970005e-05
110,3.3289342027810214e-05
64,3.286694251342272e-05
44,3.126013296167907e-05
216,2.72405460694462e-05
60,2.5445368030742415e-05
213,2.3311960402935633e-05
108,2.3036439575317285e-05
93,2.0703982436932362e-05
70,1.8698691552733203e-05
180,1.7473114047901287e-05
85,1.5629195166044637e-05
212,1.5540148137981042e-05
74,1.4739560278837907e-05
129,1.3573288645373547e-05
211,1.1061427574079674e-05
82,9.889396250474257e-06
219,9.79288820669594e-06
94,7.426530605395366e-06
103,5.541222407203546e-06
101,5.277458780211779e-06
33,2.8007218393463575e-06
175,7.24778262174237e-07
41,4.556290760848712e-09
81,0.0
75,0.0
76,0.0
11,0.0
205,0.0
86,0.0
79,0.0
3,0.0
2,0.0
225,0.0
209,0.0
210,0.0
223,0.0
226,0.0
106,0.0
102,0.0
17,0.0
45,0.0
73,0.0
146,0.0
46,0.0
165,0.0
166,0.0
154,0.0
153,0.0
39,0.0
170,0.0
51,0.0
150,0.0
37,0.0
36,0.0
176,0.0
177,0.0
179,0.0
198,0.0
145,0.0
56,0.0
27,0.0
139,0.0
25,0.0
138,0.0
63,0.0
65,0.0
191,0.0
69,0.0
123,0.0
122,0.0
197,0.0
89,0.0
